assertion	hate speech scores
Der Druck, besonders männlich wirken zu müssen, schadet Männern.	-0,488888889
Der Feminismus schadet der Gesellschaft massiv, weil eine gesunde Gesellschaft starke Familien und eine gesunde Anzahl Kinder (2.1 Geburten pro Frau) braucht um zu überleben. Während eine Gleichberechtigung von Frauen etwas positives ist, zwing die neue soziale Realität Frauen sich gegen Kinder/Familie zu entscheiden, was langfristig der Gesellschaft enormen Schaden zufügt. Auch für die Frauen selbst ist die "neue Freiheit" potential nicht besser als das alte, starre Rollenbild.	0,311111111
Der Gender Pay Gap existiert nicht / lässt sich rational begründen.	-0,088888889
Der Gender Pay Gap ist keine systematische Benachteiligung von Frauen, sondern Resultat der eigenen Entscheidungen von Frauen (Im Durchschnitt kürzere Arbeitswege, weniger Arbeitsstunden, geringere Wettkampfbereitschaft, weniger Patente, weniger Gehaltserhöhungsanfragen, ...).	0,511111111
Der Mann ist für das Finanzielle zuständig.	0,511111111
Der neue Feminismus ist eine von der CIA geförderte und verbreitete Ideologie und dient der psychologischen Kriegsführung.	0,4
Der Plan dass deutsche Frauen mehr arbeiten soll nur dafür sorgen dass weniger Kinder zur Welt kommen. Dann ist mehr Platz für die "Merkelgäste".	0,288888889
Der Wandel hin zur Karrierefrau ist verantwortlich für den Geburtenrückgang in den Industrieländern.	0,177777778
Der Weltfrauentag ist großer Unsinn, solange es keinen dementsprechenden Weltmännertag gibt, der die Probleme männlicher Personen in unserer Gesellschaft thematisiert.	0,2
Der Wunsch nach einem starken Mann steht mit der aktuellen Feminismus-Debatte im absoluten Widerspruch.	0,022222222
Derzeitige Darstellung von Gleichstellungsfragen in den Medien ist einseitig und zum Vorteil von Frauen.	-0,044444444
Die #metoo-Bewegung ist hysterisch.	0,444444444
Die allgemeine Bezeichnung eines Berufes (z.B. der Bäcker, der Postbote, der Polizist) ist geschlechtsneutral. Sie stellt kein Geschlecht über das andere.	-0,222222222
Die Aussage: "Aber was ist mit uns Männern?" ist völlig hirnverbrannt.	-0,133333333
Die ausufernde Unkorrektheit von Präsident Trump (und die Toleranz der Gesellschaft gegenüber jene) bezüglich Frauen hat nichts mit einem Patriarchat, sondern mehr mit der Tatsache zu tun, dass Personen in der westlichen Welt über Geld zu einem unglaublichen Maß an gesellschaftlicher Macht kommen können.	-0,066666667
Die Denk- und Handlungsweisen beider Geschlechter unterscheiden sind nur gering.	-0,133333333
Die Diskriminierung / Nachteile von Männern wird / werden viel zu wenig in der Öffentlichkeit und von FeministInnen thematisiert, besonders im Vergleich zur Benachteiligungen von Frauen.	-0,133333333
Die Diskussion um Vokabeln lenkt von der eigentlichen gesellschaftlichen Problematik ab: Akzeptanz.	-0,355555556
Die Erwartungen, die man an einer Frau hat hinsichtlich was sie im Haushalt zu erledigen hat und wie sie ihr Kind zu erziehen hat, hat einen starken Einfluss auf ihre Karriere - wie lange sie in vor Ort ihre Arbeit verrichtet und ihre Arbeit von den Kollegen anerkannt wird und somit auch ihre Aufstiegschancen und die Frauenquote in den Führungspositionen.	-0,222222222
Die Feminismusbewegung pickt sich die Rosinen heraus, ohne tatsächliche Gleichstellung in beide Richtungen anzustreben.	0,377777778
Die feministische Bewegung war notwendig (erste und zweite Welle), sie hat ihre Aufgabe voll erfüllt. Wir brauchen das jetzt nicht mehr.	0,177777778
Die Frauenquote ist ansatzweise sinnvoll.	-0,4
Die Frauenquote ist Quatsch.	0,2
Die Frauenquote schadet dem Emanzipationsansinnen mehr, als sie nutzt.	-0,044444444
Die Führung der Bundeswehr reagiert mittlerweile "panisch" und mit völlig übertriebenem Aktionismus auf jeden Vorwurf der Diskriminierung. Das führt am Ziel vorbei.	0,2
Die Gender-Pay-Gap ist kein Problem des Sexismus oder ein Konstrukt des Patriarchats.	0,022222222
Die Geschlechter sind nicht immer gleich, jedoch nicht minderwertiger.	-0,622222222
Die geschlechtsspezifschen Gesundheitsrisiken von Männern und Frauen werden in der Gesellschaft gleichwertig wahrgenommen.	-0,222222222
Die Gesellschaft bürdet Frauen zu viel Verantwortung für Nachwuchs auf.	-0,288888889
Die Gleichberechtigung der Frau ist nicht durch Quoten und Gesetztesvorgaben zu erreichen, sondern erfordert ein radikales gesamtgesellschaftliches umdenken.	-0,466666667
Die Kindheit sollte nicht von den Geschlechterrollen beeinflusst werden (Bsp.: Junge bekommt Experimenrierkasten / Mädchen Puppe geschenkt)	-0,533333333
Die meisten Frauen haben kein tieferes Interesse an Dingen außerhalb ihres sozialen Nahbereichs.	0,488888889
Die meisten Männer sind frauenfeindlich, ohne sich dessen bewusst zu sein.	-0,111111111
Die meisten Männerberufe sind zu hart für Frauen.	0,155555556
Die Politik tut alles um die Gleichstellung der Frau zu realisieren.	-0,244444444
Die Regierung setzt sich nicht genug für die Gleichberechtigung der Geschlechter ein.	-0,288888889
Die sozialen Medien beeinflussen die Stereotypen vom Frausein und Mannsein stark und dieses beeinflusst auch die Jugend, die aufwächst, während sie solchen Werten ausgesetzt ist.	-0,311111111
Die Unterschiede zwischen Mann und Frau sind vor allem biologisch bedingt.	-0,222222222
Die Work-Life-Balance (in Bezug auf Haushalt, Organisation, Freizeit, Familienbande pflegen, Ernährung usw.) funktioniert besser, wenn in einer Ehe nur ein Partner berufstätig ist.	0,088888889
Durch die Frauenrevolution, den neuen Feminismus und das Wahlrecht wird die Politik mehr von Gefühlen, Über-Moralisierung, Gruppendenken und blinde Xenophilie (Open Borders) bestimmt als von rationalen zur Sache relevanten Argumenten, das schadet der Politik. Beispiel: Masseneinwanderung mit blinder mütterlicher Liebe/Idealisierung des Fremden, bei Widerspruch ist man sofort ein Hetzer und Nazi, Reduktion der Meinungsfreiheit (NetzDG) da Frauen tendenziell eher von freier/aggressiver Rede emotional belastet sind (belegt durch Studien)	0,511111111
Durchschnittliche Gehaltsunterschiede zwischen Frauen und Männern entstehen durch Diskriminierung.	-0,088888889
Ehe und Kinder sind speziell für Frauen ein finanzielles Risiko und machen Frauen unglücklich.	0,222222222
Eine Abtreibung sollte auch mit dem Vater mitentschieden werden.	-0,066666667
Eine Frau, die sich freizügig anzieht, ist nicht unschuldig daran, wenn sie angemacht wird.	0,755555556
Eine Frauenquote in sozialen Berufen ist absolut richtig.	-0,444444444
Eine Frauenquote ist keine elegante Lösung, aber für eine Übergangszeit notwendig.	-0,222222222
Eine Gesellschaft die meritokratisch aufgebaut ist, ist per se patriarchalisch, da Männer Frauen kognitiv wie physisch überlegen sind.	0,577777778
Eine Gesellschaft in der Frauen die Macht haben verkommt schnell.	0,8
Eine Gleichberechtigung kommt nur unter gleichen in Frage, nicht aber unter ungleichen.	0,177777778
Eine klassische Rollenverteilung in der Ehe ist zu bevorzugen.	0,444444444
Eine Männerquote in sozialen Berufen ist notwendig.	-0,311111111
Eine strukturelle Benachteiligung von Männern gibt es nirgendwo.	-0,022222222
Erwartungen und genderspezifische Erziehung beeinflusst stark die Entwicklung und Persönlichkeitsentfaltung eines Kindes und kann schnell der Grund für Blockaden im Hirn führen, wodurch man Mädchen ihre Zukunft verbaut.	-0,288888889
Es besteht eine tiefgehende strukturelle Ungleichbehandlung von Frauen und Männern, die bereits in der frühen Kindheit beginnt.	-0,511111111
Es darf keine Bevorzugung nur aufgrund des Geschlechtes geben.	-0,577777778
Es gibt biologische Unterschiede zwischen Mann und Frau.	-0,377777778
Es gibt eine durchschnittliche Frau und einen durchschnittlichen Mann, deren Interessen nicht uebereinstimmen. Von daher sind Unterschiede unvermeindlich	-0,022222222
Es gibt einen Gender-Paygap von >20%, der sich ausschließlich auf das Geschlecht zurückführen lässt.	-0,288888889
Es gibt Frauen die Vergewaltigungen genießen. Diese Art von Frauen bilden den nicht-lesbischen Anteil von Gutmenschparteien wie den Grünen.	1
Es gibt Frauen und es gibt Männer. Und es gibt Ausnahmen. Ausnahmen sollen (wie jeder andere) existieren dürfen und Rechte haben. Aber die sollen auch bitte Ausnahmen bleiben.	-0,266666667
Es gibt Frauenberufe und es gibt Männerberufe.	0,155555556
Es gibt Gründe, eine Frau zu schlagen. Es sind die selben beiden Gründe um einen Mann zu schlagen: Notwehr- oder Nothilfesituation, Einverständnis der Person (in einem sexuellen Zusammenhang etwa).	-0,111111111
Es gibt keinen Genderpaygap, der Erwerbsunterschied spiegelt in etwa dem Leistuns-, Verantwortungs und Studenunterschied wider.	0,022222222
Es gibt nur deshalb weniger Frauen in naturwissenschaftlichen Berufszweigen, weil diese von kleinauf entsprechend konditioniert werden.	-0,2
Es gibt Vorurteile gegenüber Frauen in Managerpositionen.	-0,244444444
Es gibt zu wenig Frauen in Führungspositionen, selbst in Branchen in denen die Mehrheit Frauen sind.	-0,355555556
Es ist nicht möglich eine Gleichberechtigung zwischen Männern und Frauen zu erreichen, da Frauen keine klare Definition von Gleichberechtigung kennen.	0,577777778
Es ist überflüssig und kontraproduktiv, auf geschlechtlich gleichmäßige Belegung aller Berufsfelder zu beharren.	0,111111111
Es mangelt der Bewegung des Feminismus an einem Ziel.	0,111111111
Es muss mehr dafür getan werden, dass Männer im Durchschnitt genauso alt werden wie Frauen.	-0,266666667
Es sollte der Gesellschaft selbst ueberlassen sein, wie die Verteilung der Geschlechter in welchen Gebieten aussieht	-0,266666667
Es sollte mehr Aufklärung für Leute ab 40 geben, was Gleichstellung eigentlich ist.	-0,377777778
Es wird kein Mädchen/keine Frau vom Karrierewunsch bei der Polizei abgeschreckt. Die Namensgebung der Berufsfelder spielt keine Rolle.	-0,377777778
Familienleben und Kindererziehung funktioniert besser, wenn einer der beiden Partner nicht berufstätig ist.	-0,177777778
Feminismus braucht man heute nicht mehr.	-0,133333333
Feminismus existiert nur, um hässliche Frauen in die Gesellschaft zu integrieren.	0,822222222
Feminismus hilft allen Menschen	-0,466666667
Feminismus ist für die absolute Gleichstellung der Geschlechter und demnach notwendig.	-0,422222222
Feminismus ist kein notwendiger Aktivismus. Frauen geht es doch gut.	0,177777778
Feminismus ist nach wie vor notwendig.	-0,533333333
Feminismus ist nicht gut, da die Bewegung nur für die Rechte der Frauen kämpft, anstatt was viele Feministinnen auch wollen, die Gleichberechtigung der Männer.	-0,044444444
Feminismus ist nicht mehr nötig in Europa.	0,088888889
Feminismus ist nichts anderes als gesellschaftliche Hysterie.	0,488888889
Feminismus verhält sich zur Befürwortung der Gleichberechtigung der Geschlechter so, wie sich militanter Rechtsextremismus zum Rechtsliberalismus verhält.	0,377777778
Feminismus vertritt nur ein spezielles Lebensmodell und steht nicht für alle Frauen - insbesondere benachteiligt es andere Lebensmodelle als eine kinderlose Karriere.	-0,044444444
Feminismus wird in Deutschland nicht mehr benötigt.	0,288888889
Feminist*innen gehen zu weit/übertreiben.	0,311111111
Feministen sind ausschließlich oder überwiegend angetrieben durch Männerhass.	0,488888889
Feministen sind für Männer eine ernste Gefahr.	0,355555556
Feministen sind männerhassende Frauen, die selber kein Glück im Leben gefunden haben.	0,666666667
Feministen sind unrasiert, untervögelte Alt-hippies.	0,688888889
Feministinnen fordern Gleichberehcitgung in der Öffentlichkeit, wünschen sich heimlich den gangbang mit negern.	0,822222222
Feministinnen sind Abschaum, die das Volk vernichten wollen.	0,866666667
FeministInnen sind Männerhasser.	0,333333333
Forderungen nach geschlechtergerechter Sprache sind zu unterstützen.	-0,577777778
Frauen altern wie Milch, Männer altern wie Wein.	0,466666667
Frauen bereichern zwar die Bundeswehr (menschlich) aber haben da eigentlich nichts verloren. (u.a. wegen dem Beschützerinstinkt der Kameraden in kritischen Situationen)	0,355555556
Frauen brauchen keinen Feminismus, weil sie hier doch nicht mehr unterdrückt werden.	0,044444444
Frauen die sich sexy kleiden müssen sich nicht wundern wenn der Ali über sie herfällt.	0,733333333
Frauen erfinden Vergewaltigungen/sexuellen Missbrauch nur für Aufmerksamkeit (#metoo).	0,8
Frauen gehen meist viel schlimmer mit anderen Frauen um als Männer mit Frauen umgehen.	0,333333333
Frauen gehen öfter fremd als Männer.	0,4
Frauen gehören in die Küche.	0,977777778
Frauen gehören nicht in Kampfeinheiten bei der Armee.	0,422222222
Frauen gehört das Wahlrecht entzogen.	0,733333333
Frauen haben die gleichen Rechte, also ist Diskriminierung vorbei.	-0,133333333
Frauen haben doch alle Rechte die Männer auch haben.	-0,044444444
Frauen haben einen signifikant geringeren Durchsetzungswillen.	0,511111111
Frauen haben es im Leben einfacher.	0,2
Frauen haben es sehr viel härter als Männer um sowohl Beruf als auch Familie/Kinder zu vereinen.	-0,355555556
Frauen haben im Schnitt weniger Interesse an und weniger Opferbereitschaft für ihre Karriere. Daher erreichen sie im Schnitt weniger als Männer.	0,155555556
Frauen haben im statischen Mittel ein kleineres Allgemeinwissen.	0,711111111
Frauen haben in der heutigen Gesellschaft teils leichter in manchen Gebieten, aber in anderen widerrum schwerer.	-0,288888889
Frauen haben in gewissen Berufen nichts zu suchen.	0,622222222
Frauen haben Menstruation, darum können sie nur drei Wochen im Monat arbeiten.	0,644444444
Frauen haben schlechtere Chancen auf dem Arbeitsmarkt.	-0,066666667
Frauen haben sehr große Vorteile bei Gerichtsentscheidungen über den Verbleib der eigenen Kinder.	0
Frauen haben weniger Rechte.	0,044444444
Frauen in anderen Ländern dürfen nicht mal wählen, deshalb sollte der Feminismus in Deutschland keine Forderungen stellen	0,622222222
Frauen in führenden Positionen haben häufig komplizierte Persönlichkeiten.	0,444444444
Frauen in Kampfsituationen rufen in Männern den Beschützerinstinkt wach.	-0,155555556
Frauen in Uniformen kann man nicht respektieren (sieht aber gut aus).	0,866666667
Frauen könne ohne Kinder glücklich sein.	-0,844444444
Frauen können das gleiche leisten. SOLLTEnes aber auch. Ein einfordern von Vorteilen ist KEINE Gleichstellung.	0,088888889
Frauen können das Selbe leisten wie Männer.	-0,533333333
Frauen können mittlerweile in Deutschland alles erreichen, aber sie müssen viel besser sein als gleichrangige Männer.	-0,2
Frauen können nichts und sind zu dumm	0,977777778
Frauen können sich besser um Kinder und Familie kümmern, es liegt in ihrer Natur.	0,066666667
Frauen können so viel Sex mit so vielen Partnern haben, wie sie wollen, und sind dennoch keine "Schlampen", "billig" etc.	-0,533333333
Frauen leiden häufiger als Männer an psychischen Krankheiten.	0,288888889
Frauen leisten überall das gleiche	-0,533333333
Frauen müssen alles können und machen: Job, Familie, Haushalt.	0,066666667
Frauen müssen gefördert werden.	-0,488888889
Frauen müssen ihre Wünsche auch stärker einfordern.	0,133333333
Frauen müssen mehr leisten als ihre männlichen Kollegen, um als genau so kompetent wahrgenommen zu werden.	-0,311111111
Frauen müssen nur mehr Berufe ergreifen, die bisher überwiegend von Männern ausgeübt werden, um mehr Geld zu verdienen.	0,244444444
Frauen nach wie vor weit davon entfernt gleichberechtigt zu sein	-0,288888889
Frauen neigen aus biologischen Gründen dazu untreu zu sein, wenn sie denken, dass ihnen ein anderer Mann mehr ressourcen geben kann. Frauen als (sexuelle) Schlampen zu bezeichnen ist also korrekt (sexuelle Schlampe drückt genau dieses man-hopping aus).	0,733333333
Frauen raus aus technischen Berufen.	0,755555556
Frauen ruinieren oft den größten Spaß.	0,511111111
Frauen schlafen sich hoch und schreien hinterher Belästigung, wenn es nicht gut läuft.	0,866666667
Frauen setzen ihren Körper ein um beruflich voran zu kommen. Dann wundern sie sich, dass man sie als schlampen bezeichnet.	0,622222222
Frauen sind (im Durchschnitt) dümmer als Männer.	0,866666667
Frauen sind bei Sorgerechtsfragen privilegiert.	-0,088888889
Frauen sind bereits gleichgestellt.	0,044444444
Frauen sind dazu da Kinder zu gebären.	0,933333333
Frauen sind emotional unberechenbarer.	0,377777778
Frauen sind für die Erziehung der Kinder im ersten Lebensjahr verantwortlich.	0
Frauen sind gesellschaftlich nicht gleichgestellt.	-0,288888889
Frauen sind grundsätzlich in der Lage alles zu tun was Männer auch können, wenn man von rein physischen Unterschieden (z.B. Körperkraft, Größe) absieht.	-0,622222222
Frauen sind im Durchschnitt (!) emotionaler und sensibler als Männer.	-0,555555556
Frauen sind im Durchschnitt (!) weniger geeignet für die Bundeswehr. Aber die Frauen, die geeignet und gewillt sind, dürfen teilnehmen, genauso wie die Männer, die nicht geeignet oder gewillt sind, nicht teilnehmen müssen.	-0,088888889
Frauen sind im durchschnitt schwächer als Männer in physischen Aspekten.	0
Frauen sind in unserer Gesellschaft benachteiligt.	-0,466666667
Frauen sind in vielen Berufen immer noch unterrepräsentiert und das liegt beileibe nicht nur an fehlendem Interesse an diesen Berufen.	-0,444444444
Frauen sind körperlich schwächer als Männer und können in der Bundeswehr nicht mithalten.	0,288888889
Frauen sind körperlich schwächer und psychisch labiler als Männer und stören die Dynamik in reinen Männergruppen. Bundeswehr und Polizei leisten ohne Frauen daher bessere Arbeit.	0,511111111
Frauen sind körperlich schwächer, daher auch die Trennung bei Sportarten.	-0,244444444
Frauen sind Männern geistig in einigen Bereichen unterlegen	0,777777778
Frauen sind Minderleister in unseren Gesellschaften.	0,555555556
Frauen sind naiver als Männer, was sie zu Opfern macht.	0,666666667
Frauen sind nicht schwach und sollten sich so auch nicht fühlen.	-0,844444444
Frauen sind nicht weniger leistungsfähig als Männer.	-0,6
Frauen sind physisch und psychisch nicht für harte Arbeit geschaffen.	0,511111111
Frauen sind stark und sie im Team zu haben macht jedes wirtschaftliche wie soziale Unternehmen stärker.	-0,888888889
Frauen sind trotz gesetzlicher Gleichberechtigung im Alltag nicht komplett gleichberechtigt.	-0,4
Frauen sollen das gleiche machen dürfen wie Männer.	-0,733333333
Frauen sollen frei und ohne jeden Einfluss von Feministen über ihr Leben entscheiden können. Wenn sie Hausfrauen werden wollen dann ist das in Ordnung. Wenn sie Models werden wollen dann ist das auch in Ordnung. Und dasselbe wenn sie ingenieur werden wollen.	-0,6
Frauen sollte das Wahlrecht entzogen werden.	0,955555556
Frauen sollten bei Beruf oder Politik nicht deshalb bevorzugt werden, weil sie eine Frau sind. Die Qualifikation ist wichtiger.	-0,533333333
Frauen sollten die Ungleichbehandlung von Männern anerkennen, da sie auch an Ungleichberechtigung leiden wie z.B das sie aufgrund der gesellschaftlich festgelegten Rolle verschlossen über ihren Gefühlen und Problemen sind.	-0,066666667
Frauen sollten für die gleiche Arbeit weniger Geld. verdienen (weil sie häufiger ausfallen und dann doch nicht die gleiche Arbeit leisten).	0,888888889
Frauen sollten Kinder erziehen anstatt zu arbeiten.	0,6
Frauen sollten nicht benachteiligt werden, nur weil sie Kinder bekommen könnten.	-0,555555556
Frauen sollten sich in Punkt Beruf & Karriere mehr zutrauen.	-0,355555556
Frauen sollten wieder ihre klassische Geschlechterrolle ausüben.	0,755555556
Frauen tendieren dazu links zu wählen, Männer relative dazu rechts.	0,177777778
Frauen übernehmen immer noch große Teile der Kindererziehung.	-0,333333333
Frauen und Maenner sich bereits gleichberechtigt, denn es existieren keine Gesetze, die eins dem anderen ueberlegen darstellen.	-0,2
Frauen und Männer haben (statistisch betrachtet) stark unterschiedliche Interessen, daher sind Initiativen wie Girls' day nutzlos.	0,2
Frauen und Männer sind aus biologischer Sicht grundverschieden und benötigen deshalb auch unterschiedliche Rechte.	0,222222222
Frauen und Männer sind biologisch verschieden	-0,133333333
Frauen und Männer sind körperlich sowie psychisch nicht immer gleich.	-0,511111111
Frauen und Männer sind nicht gleich und sollten nicht gleich behandelt werden.	0,111111111
Frauen und Männer sind nicht grundsätzlich gleich und können auch nicht grundsätzlich das Gleiche, sollten aber die gleichen Chancen und Möglichkeiten haben.	-0,622222222
Frauen und Männer sind rein körperlich unterschiedlich leistungsfähig und daher im Durchschnitt für unterschiedliche Berufe geeignet.	0,022222222
Frauen und Männer sollen für dasselbe Verbrechen gleichermaßen hart bestraft werden.	-0,644444444
Frauen und Männer sollen vor dem Staat gleiche Rechte und Pflichten haben.	-0,666666667
Frauen und Männer sollten die gleichen Rechten und Pflichten haben.	-0,733333333
Frauen und Männer sollten in der Gesellschaft gleichbehandelt werden.	-0,688888889
Frauen und Männer sollten in Unternehmen und Führungspositionen zu 50% vertreten sein.	-0,244444444
Frauen verdienen im Schnitt weniger, da sie andere Berufskategorien wählen als Männer.	-0,066666667
Frauen weigern sich bei der Geschlechterdiskussion professionelle Argumentationsweisen zu übernehmen, sondern argumentieren unpräzise, sichtbar voreingenommen und emotional.	0,822222222
Frauen werden aktuell überall bevorzugt behandelt	0,244444444
Frauen werden in der Gesellschaft benachteiligt.	-0,511111111
Frauen werden in der Werbung, Medien, Filmen und Unterhaltung immer noch sehr sexistisch dargestellt und zu Objekten gemacht.	0,155555556
Frauen werden in Deutschland nicht diskriminiert, sondern bevorzugt.	0,2
Frauen werden ständig sexuell belästigt.	0,288888889
Frauen wollen maskuline Männer, die traditionellen Werten (Stoisch, entschlossen, hohes Selbstbewusstsein, Macher-Typ) entsprechen. Selbst wenn sie behaupten, dass Schwäche akzeptabel und menschlich ist, werden Zeichen von Schwäche weiterhin massiv sozial abgestraft.	0,155555556
Frauen wurden in großen Teilen der Geschichte unterdrückt.	-0,466666667
Frauenförderung hat fast nur Nachteile für die Gesellschaft (Kinderlosigkeit, abnehmen der Produktivität).	0,733333333
Frauenquote ist nötig.	0
Frauenquote ist notwendig. Punkt!	-0,244444444
Frauenquote macht Sinn bzw. wirkt.	-0,555555556
Frauenquote muss überall sein	-0,133333333
Frauenquote vor Qualifikation.	-0,155555556
Frauenquoten behindern die echte Gleichstellung der Geschlechter.	0,155555556
Frauenquoten führen dazu das die Vergabe von Jobs nicht primär nach Können und Leistung erfolgt.	-0,088888889
Frauenquoten führen dazu, dass unqualifizierte Personen aufgrund Ihres Geschlechts an Posten kommen, die andere besser besetzen könnten.	0,266666667
Frauenquoten helfen der Gleichstellung.	-0,511111111
Frauenquoten in Aufsichtsräten fördern die Gleichberechtigung.	-0,377777778
Frauenquoten sind kosmetische Zwangsmaßnahmen und stellen eine Form der Diskiminierung dar.	0,355555556
Frauenquoten sind notwendig.	-0,288888889
Frauenquoten sind quatsch.	0,355555556
Frauenquoten sind sinnvoll und notwendig.	-0,377777778
Für Frauen in der Bundeswehr sollten hinsichtlich köperlicher Leistungsfähigkeit exakt dieselben Kriterien gelten wie für Männer, selbst dann, wenn dadurch keine einzige Frau qualifiziert ist.	-0,066666667
Für viele Führungspositionen sind Männer besser geeignet.	0,133333333
Gegenderte Begriffe wie mansplaining oder manspreading sind sexistisch und basieren auf falschen Prämissen.	-0,177777778
Gehälter von Frauen müssen jenen von Männern bei gleicher Arbeit in allen Belangen gleichgestellt werden.	-0,488888889
Genderforschern geht es in erster Linie nicht um das Herstellen von Gleichcheit, sondern um ihr eigenes Geltungsbedürfnis.	0,022222222
Genderforschern und Befürwortern geschlechtergerechter Sprache wird aufgrund falscher politischer Korrektheit Gehör geschenkt.	-0,088888889
Gendergerechte Sprache ist unpraktisch und ist zuwider der intuitiven Nutzung von Sprache.	-0,111111111
Gendergerechte Sprache zieht Menschen mit echten Problemen was ihre Sexualität angeht gesamtgesellschaftlich nur ins lächerliche.	-0,066666667
Gendermainstreaming bedeutet idr nur Nachteile für cis-gender Männer. An Universitäten gibt es idr nur Kurse speziell für Frauen, aber keine nur für Männer. Eine Teilnahme für Männer an Frauenkursen ist untersagt auch wenn dies inhaltlich keinen Sinn macht.	0,044444444
Gendermainstreaming ist quatsch.	0,288888889
Genderstudies sind absoluter Quatsch.	0,4
Geschlechterangleichung in der Sprache ist überflüssig.	-0,288888889
Geschlechterpolitik gründet zur Zeit auf Lobbyismus für Eigeninteressen und nur wenig auf gesellschaftlichen Wahrheiten.	0,044444444
Geschlechterquoten ist gerecht.	-0,288888889
Geschlechtsangleichende Operationen sind der beste/einzige Weg Gender Dysphoria zu bewältigen.	-0,222222222
Gesellschaftlich genießen Frauen etliche Vorteile einfach durch die wohlwollende Wahrnehmung anderer Menschen.	0,511111111
Gleich geschlechtliche ehe sollte verboten werden.	0,022222222
GleichbeRECHTigung (equality of opportunity) ist erstrebenswert, aber sicherzustellen, dass Männer und Frauen in allen Sektoren gleich stark vertreten sind (equality of outcome), ist nicht erstrebenswert.	-0,066666667
Gleichberechtigung ist bereits seit 40 Jahren realität. Heute geht es dem Feminismus nur noch um Hetze gegen Männer und andersdenkende.	0,422222222
Gleichberechtigung ist bereits Staatsform. Gleichstellung ist totalitäre Tyrannei.	0,266666667
Gleichberechtigung ist eine menschenrechtliche Frage	-0,666666667
Gleiche Gehälter und Chancen in der Arbeitswelt sind der Schlüssel zur tatsächlichen Gleichstellung	-0,555555556
Gleiches Geld für gleiche Arbeit, unabhängig vom Geschlecht.	-0,8
Gleichgeschlechtliche Paare können einem Kind genauso gute Eltern sein wie Frau und Mann.	-0,555555556
Gleichstellung bedeutet tatsächlich bloß "Bevorzugung der Frauen".	0,488888889
