assertion	hate speech score
 Die Work-Life-Balance (in Bezug auf Haushalt, Organisation, Freizeit, Familienbande pflegen, Ernährung usw.) funktioniert besser, wenn in einer Ehe nur ein Partner berufstätig ist.	0,083333333
 Durch die Frauenrevolution, den neuen Feminismus und das Wahlrecht wird die Politik mehr von Gefühlen, Über-Moralisierung, Gruppendenken und blinde Xenophilie (Open Borders) bestimmt als von rationalen zur Sache relevanten Argumenten, das schadet der Politik. Beispiel: Masseneinwanderung mit blinder mütterlicher Liebe/Idealisierung des Fremden, bei Widerspruch ist man sofort ein Hetzer und Nazi, Reduktion der Meinungsfreiheit (NetzDG) da Frauen tendenziell eher von freier/aggressiver Rede emotional belastet sind (belegt durch Studien)	0,333333333
 Durchschnittliche Gehaltsunterschiede zwischen Frauen und Männern entstehen durch Diskriminierung.	0
 Ehe und Kinder sind speziell für Frauen ein finanzielles Risiko und machen Frauen unglücklich.	0,291666667
 Eine Abtreibung sollte auch mit dem Vater mitentschieden werden.	-0,083333333
 Eine Frau, die sich freizügig anzieht, ist nicht unschuldig daran, wenn sie angemacht wird.	0,75
 Eine Frauenquote in sozialen Berufen ist absolut richtig.	-0,333333333
 Eine Frauenquote ist keine elegante Lösung, aber für eine Übergangszeit notwendig.	-0,125
 Eine Gesellschaft die meritokratisch aufgebaut ist, ist per se patriarchalisch, da Männer Frauen kognitiv wie physisch überlegen sind.	0,458333333
 Eine Gesellschaft in der Frauen die Macht haben verkommt schnell.	0,75
 Eine Gleichberechtigung kommt nur unter gleichen in Frage, nicht aber unter ungleichen.	0,083333333
 Eine klassische Rollenverteilung in der Ehe ist zu bevorzugen.	0,583333333
 Eine Männerquote in sozialen Berufen ist notwendig.	-0,291666667
 Eine strukturelle Benachteiligung von Männern gibt es nirgendwo.	-0,25
 Erwartungen und genderspezifische Erziehung beeinflusst stark die Entwicklung und Persönlichkeitsentfaltung eines Kindes und kann schnell der Grund für Blockaden im Hirn führen, wodurch man Mädchen ihre Zukunft verbaut.	-0,333333333
 Es besteht eine tiefgehende strukturelle Ungleichbehandlung von Frauen und Männern, die bereits in der frühen Kindheit beginnt.	-0,5
 Es darf keine Bevorzugung nur aufgrund des Geschlechtes geben.	-0,625
 Es gibt biologische Unterschiede zwischen Mann und Frau.	-0,375
 Es gibt eine durchschnittliche Frau und einen durchschnittlichen Mann, deren Interessen nicht uebereinstimmen. Von daher sind Unterschiede unvermeindlich	-0,083333333
 Es gibt einen Gender-Paygap von >20%, der sich ausschließlich auf das Geschlecht zurückführen lässt.	-0,041666667
 Es gibt Frauen die Vergewaltigungen genießen. Diese Art von Frauen bilden den nicht-lesbischen Anteil von Gutmenschparteien wie den Grünen.	0,958333333
 Es gibt Frauen und es gibt Männer. Und es gibt Ausnahmen. Ausnahmen sollen (wie jeder andere) existieren dürfen und Rechte haben. Aber die sollen auch bitte Ausnahmen bleiben.	-0,25
 Es gibt Frauenberufe und es gibt Männerberufe.	0,041666667
 Es gibt Gründe, eine Frau zu schlagen. Es sind die selben beiden Gründe um einen Mann zu schlagen: Notwehr- oder Nothilfesituation, Einverständnis der Person (in einem sexuellen Zusammenhang etwa).	-0,166666667
 Es gibt keinen Genderpaygap, der Erwerbsunterschied spiegelt in etwa dem Leistuns-, Verantwortungs und Studenunterschied wider.	-0,125
 Es gibt nur deshalb weniger Frauen in naturwissenschaftlichen Berufszweigen, weil diese von kleinauf entsprechend konditioniert werden.	-0,25
 Es gibt Vorurteile gegenüber Frauen in Managerpositionen.	-0,166666667
 Es gibt zu wenig Frauen in Führungspositionen, selbst in Branchen in denen die Mehrheit Frauen sind.	-0,291666667
 Es ist nicht möglich eine Gleichberechtigung zwischen Männern und Frauen zu erreichen, da Frauen keine klare Definition von Gleichberechtigung kennen.	0,541666667
 Es ist überflüssig und kontraproduktiv, auf geschlechtlich gleichmäßige Belegung aller Berufsfelder zu beharren.	0,041666667
 Es mangelt der Bewegung des Feminismus an einem Ziel.	0,083333333
 Es muss mehr dafür getan werden, dass Männer im Durchschnitt genauso alt werden wie Frauen.	-0,208333333
 Es sollte der Gesellschaft selbst ueberlassen sein, wie die Verteilung der Geschlechter in welchen Gebieten aussieht	-0,208333333
 Es sollte mehr Aufklärung für Leute ab 40 geben, was Gleichstellung eigentlich ist.	-0,291666667
 Es wird kein Mädchen/keine Frau vom Karrierewunsch bei der Polizei abgeschreckt. Die Namensgebung der Berufsfelder spielt keine Rolle.	-0,333333333
 Familienleben und Kindererziehung funktioniert besser, wenn einer der beiden Partner nicht berufstätig ist.	-0,25
 Feminismus braucht man heute nicht mehr.	-0,083333333
 Feminismus existiert nur, um hässliche Frauen in die Gesellschaft zu integrieren.	0,791666667
 Feminismus hilft allen Menschen	-0,291666667
 Feminismus ist für die absolute Gleichstellung der Geschlechter und demnach notwendig.	-0,291666667
 Feminismus ist kein notwendiger Aktivismus. Frauen geht es doch gut.	0,25
 Feminismus ist nach wie vor notwendig.	-0,5
 Feminismus ist nicht gut, da die Bewegung nur für die Rechte der Frauen kämpft, anstatt was viele Feministinnen auch wollen, die Gleichberechtigung der Männer.	-0,125
 Feminismus ist nicht mehr nötig in Europa.	0,083333333
 Feminismus ist nichts anderes als gesellschaftliche Hysterie.	0,416666667
 Feminismus verhält sich zur Befürwortung der Gleichberechtigung der Geschlechter so, wie sich militanter Rechtsextremismus zum Rechtsliberalismus verhält.	0,291666667
 Feminismus vertritt nur ein spezielles Lebensmodell und steht nicht für alle Frauen - insbesondere benachteiligt es andere Lebensmodelle als eine kinderlose Karriere.	-0,125
 Feminismus wird in Deutschland nicht mehr benötigt.	0,291666667
 Feminist*innen gehen zu weit/übertreiben.	0,125
 Feministen sind ausschließlich oder überwiegend angetrieben durch Männerhass.	0,416666667
 Feministen sind für Männer eine ernste Gefahr.	0,25
 Feministen sind männerhassende Frauen, die selber kein Glück im Leben gefunden haben.	0,416666667
 Feministen sind unrasiert, untervögelte Alt-hippies.	0,583333333
 Feministinnen fordern Gleichberehcitgung in der Öffentlichkeit, wünschen sich heimlich den gangbang mit negern.	0,833333333
 Feministinnen sind Abschaum, die das Volk vernichten wollen.	0,875
 FeministInnen sind Männerhasser.	0,166666667
 Forderungen nach geschlechtergerechter Sprache sind zu unterstützen.	-0,5
 Frauen altern wie Milch, Männer altern wie Wein.	0,458333333
 Frauen bereichern zwar die Bundeswehr (menschlich) aber haben da eigentlich nichts verloren. (u.a. wegen dem Beschützerinstinkt der Kameraden in kritischen Situationen)	0,458333333
 Frauen brauchen keinen Feminismus, weil sie hier doch nicht mehr unterdrückt werden.	0,041666667
 Frauen die sich sexy kleiden müssen sich nicht wundern wenn der Ali über sie herfällt.	0,708333333
 Frauen erfinden Vergewaltigungen/sexuellen Missbrauch nur für Aufmerksamkeit (#metoo).	0,625
 Frauen gehen meist viel schlimmer mit anderen Frauen um als Männer mit Frauen umgehen.	0,166666667
 Frauen gehen öfter fremd als Männer.	0,333333333
 Frauen gehören in die Küche.	0,833333333
 Frauen gehören nicht in Kampfeinheiten bei der Armee.	0,583333333
 Frauen gehört das Wahlrecht entzogen.	0,625
 Frauen haben die gleichen Rechte, also ist Diskriminierung vorbei.	-0,208333333
 Frauen haben doch alle Rechte die Männer auch haben.	-0,083333333
 Frauen haben einen signifikant geringeren Durchsetzungswillen.	0,5
 Frauen haben es im Leben einfacher.	0,25
 Frauen haben es sehr viel härter als Männer um sowohl Beruf als auch Familie/Kinder zu vereinen.	-0,25
 Frauen haben im Schnitt weniger Interesse an und weniger Opferbereitschaft für ihre Karriere. Daher erreichen sie im Schnitt weniger als Männer.	0,083333333
 Frauen haben im statischen Mittel ein kleineres Allgemeinwissen.	0,625
 Frauen haben in der heutigen Gesellschaft teils leichter in manchen Gebieten, aber in anderen widerrum schwerer.	-0,25
 Frauen haben in gewissen Berufen nichts zu suchen.	0,583333333
 Frauen haben Menstruation, darum können sie nur drei Wochen im Monat arbeiten.	0,625
 Frauen haben schlechtere Chancen auf dem Arbeitsmarkt.	0,125
 Frauen haben sehr große Vorteile bei Gerichtsentscheidungen über den Verbleib der eigenen Kinder.	0,125
 Frauen haben weniger Rechte.	0,083333333
 Frauen in anderen Ländern dürfen nicht mal wählen, deshalb sollte der Feminismus in Deutschland keine Forderungen stellen	0,541666667
 Frauen in führenden Positionen haben häufig komplizierte Persönlichkeiten.	0,458333333
 Frauen in Kampfsituationen rufen in Männern den Beschützerinstinkt wach.	-0,125
 Frauen in Uniformen kann man nicht respektieren (sieht aber gut aus).	0,875
 Frauen könne ohne Kinder glücklich sein.	-0,791666667
 Frauen können das gleiche leisten. SOLLTEnes aber auch. Ein einfordern von Vorteilen ist KEINE Gleichstellung.	0,208333333
 Frauen können das Selbe leisten wie Männer.	-0,375
 Frauen können mittlerweile in Deutschland alles erreichen, aber sie müssen viel besser sein als gleichrangige Männer.	-0,125
 Frauen können nichts und sind zu dumm	0,958333333
 Frauen können sich besser um Kinder und Familie kümmern, es liegt in ihrer Natur.	0,166666667
 Frauen können so viel Sex mit so vielen Partnern haben, wie sie wollen, und sind dennoch keine "Schlampen", "billig" etc.	-0,333333333
 Frauen leiden häufiger als Männer an psychischen Krankheiten.	0,208333333
 Frauen leisten überall das gleiche	-0,5
 Frauen müssen alles können und machen: Job, Familie, Haushalt.	0,125
 Frauen müssen gefördert werden.	-0,333333333
 Frauen müssen ihre Wünsche auch stärker einfordern.	0,125
 Frauen müssen mehr leisten als ihre männlichen Kollegen, um als genau so kompetent wahrgenommen zu werden.	-0,166666667
 Frauen müssen nur mehr Berufe ergreifen, die bisher überwiegend von Männern ausgeübt werden, um mehr Geld zu verdienen.	0,25
 Frauen nach wie vor weit davon entfernt gleichberechtigt zu sein	-0,291666667
 Frauen neigen aus biologischen Gründen dazu untreu zu sein, wenn sie denken, dass ihnen ein anderer Mann mehr ressourcen geben kann. Frauen als (sexuelle) Schlampen zu bezeichnen ist also korrekt (sexuelle Schlampe drückt genau dieses man-hopping aus).	0,666666667
 Frauen raus aus technischen Berufen.	0,75
 Frauen ruinieren oft den größten Spaß.	0,5
 Frauen schlafen sich hoch und schreien hinterher Belästigung, wenn es nicht gut läuft.	0,75
 Frauen setzen ihren Körper ein um beruflich voran zu kommen. Dann wundern sie sich, dass man sie als schlampen bezeichnet.	0,583333333
 Frauen sind (im Durchschnitt) dümmer als Männer.	0,833333333
 Frauen sind bei Sorgerechtsfragen privilegiert.	0,041666667
 Frauen sind bereits gleichgestellt.	-0,041666667
 Frauen sind dazu da Kinder zu gebären.	0,833333333
 Frauen sind emotional unberechenbarer.	0,375
 Frauen sind für die Erziehung der Kinder im ersten Lebensjahr verantwortlich.	-0,041666667
 Frauen sind gesellschaftlich nicht gleichgestellt.	-0,208333333
 Frauen sind grundsätzlich in der Lage alles zu tun was Männer auch können, wenn man von rein physischen Unterschieden (z.B. Körperkraft, Größe) absieht.	-0,625
 Frauen sind im Durchschnitt (!) emotionaler und sensibler als Männer.	-0,583333333
 Frauen sind im Durchschnitt (!) weniger geeignet für die Bundeswehr. Aber die Frauen, die geeignet und gewillt sind, dürfen teilnehmen, genauso wie die Männer, die nicht geeignet oder gewillt sind, nicht teilnehmen müssen.	-0,125
 Frauen sind im durchschnitt schwächer als Männer in physischen Aspekten.	-0,125
 Frauen sind in unserer Gesellschaft benachteiligt.	-0,458333333
 Frauen sind in vielen Berufen immer noch unterrepräsentiert und das liegt beileibe nicht nur an fehlendem Interesse an diesen Berufen.	-0,375
 Frauen sind körperlich schwächer als Männer und können in der Bundeswehr nicht mithalten.	0,208333333
 Frauen sind körperlich schwächer und psychisch labiler als Männer und stören die Dynamik in reinen Männergruppen. Bundeswehr und Polizei leisten ohne Frauen daher bessere Arbeit.	0,5
 Frauen sind körperlich schwächer, daher auch die Trennung bei Sportarten.	-0,25
 Frauen sind Männern geistig in einigen Bereichen unterlegen	0,791666667
 Frauen sind Minderleister in unseren Gesellschaften.	0,708333333
 Frauen sind naiver als Männer, was sie zu Opfern macht.	0,583333333
 Frauen sind nicht schwach und sollten sich so auch nicht fühlen.	-0,708333333
 Frauen sind nicht weniger leistungsfähig als Männer.	-0,583333333
 Frauen sind physisch und psychisch nicht für harte Arbeit geschaffen.	0,541666667
 Frauen sind stark und sie im Team zu haben macht jedes wirtschaftliche wie soziale Unternehmen stärker.	-0,833333333
 Frauen sind trotz gesetzlicher Gleichberechtigung im Alltag nicht komplett gleichberechtigt.	-0,375
 Frauen sollen das gleiche machen dürfen wie Männer.	-0,708333333
 Frauen sollen frei und ohne jeden Einfluss von Feministen über ihr Leben entscheiden können. Wenn sie Hausfrauen werden wollen dann ist das in Ordnung. Wenn sie Models werden wollen dann ist das auch in Ordnung. Und dasselbe wenn sie ingenieur werden wollen.	-0,541666667
 Frauen sollte das Wahlrecht entzogen werden.	1
 Frauen sollten bei Beruf oder Politik nicht deshalb bevorzugt werden, weil sie eine Frau sind. Die Qualifikation ist wichtiger.	-0,541666667
 Frauen sollten die Ungleichbehandlung von Männern anerkennen, da sie auch an Ungleichberechtigung leiden wie z.B das sie aufgrund der gesellschaftlich festgelegten Rolle verschlossen über ihren Gefühlen und Problemen sind.	-0,125
 Frauen sollten für die gleiche Arbeit weniger Geld. verdienen (weil sie häufiger ausfallen und dann doch nicht die gleiche Arbeit leisten).	0,916666667
 Frauen sollten Kinder erziehen anstatt zu arbeiten.	0,583333333
 Frauen sollten nicht benachteiligt werden, nur weil sie Kinder bekommen könnten.	-0,416666667
 Frauen sollten sich in Punkt Beruf & Karriere mehr zutrauen.	-0,166666667
 Frauen sollten wieder ihre klassische Geschlechterrolle ausüben.	0,75
 Frauen tendieren dazu links zu wählen, Männer relative dazu rechts.	0,25
 Frauen übernehmen immer noch große Teile der Kindererziehung.	-0,333333333
 Frauen und Maenner sich bereits gleichberechtigt, denn es existieren keine Gesetze, die eins dem anderen ueberlegen darstellen.	-0,083333333
 Frauen und Männer haben (statistisch betrachtet) stark unterschiedliche Interessen, daher sind Initiativen wie Girls' day nutzlos.	0,25
 Frauen und Männer sind aus biologischer Sicht grundverschieden und benötigen deshalb auch unterschiedliche Rechte.	0,25
 Frauen und Männer sind biologisch verschieden	-0,041666667
 Frauen und Männer sind körperlich sowie psychisch nicht immer gleich.	-0,541666667
 Frauen und Männer sind nicht gleich und sollten nicht gleich behandelt werden.	0,125
 Frauen und Männer sind nicht grundsätzlich gleich und können auch nicht grundsätzlich das Gleiche, sollten aber die gleichen Chancen und Möglichkeiten haben.	-0,583333333
 Frauen und Männer sind rein körperlich unterschiedlich leistungsfähig und daher im Durchschnitt für unterschiedliche Berufe geeignet.	0
 Frauen und Männer sollen für dasselbe Verbrechen gleichermaßen hart bestraft werden.	-0,583333333
 Frauen und Männer sollen vor dem Staat gleiche Rechte und Pflichten haben.	-0,75
 Frauen und Männer sollten die gleichen Rechten und Pflichten haben.	-0,708333333
 Frauen und Männer sollten in der Gesellschaft gleichbehandelt werden.	-0,541666667
 Frauen und Männer sollten in Unternehmen und Führungspositionen zu 50% vertreten sein.	-0,083333333
 Frauen verdienen im Schnitt weniger, da sie andere Berufskategorien wählen als Männer.	-0,125
 Frauen weigern sich bei der Geschlechterdiskussion professionelle Argumentationsweisen zu übernehmen, sondern argumentieren unpräzise, sichtbar voreingenommen und emotional.	0,75
 Frauen werden aktuell überall bevorzugt behandelt	0,166666667
 Frauen werden in der Gesellschaft benachteiligt.	-0,458333333
 Frauen werden in der Werbung, Medien, Filmen und Unterhaltung immer noch sehr sexistisch dargestellt und zu Objekten gemacht.	0,208333333
 Frauen werden in Deutschland nicht diskriminiert, sondern bevorzugt.	0,291666667
 Frauen werden ständig sexuell belästigt.	0,208333333
 Frauen wollen maskuline Männer, die traditionellen Werten (Stoisch, entschlossen, hohes Selbstbewusstsein, Macher-Typ) entsprechen. Selbst wenn sie behaupten, dass Schwäche akzeptabel und menschlich ist, werden Zeichen von Schwäche weiterhin massiv sozial abgestraft.	0,166666667
 Frauen wurden in großen Teilen der Geschichte unterdrückt.	-0,333333333
 Frauenförderung hat fast nur Nachteile für die Gesellschaft (Kinderlosigkeit, abnehmen der Produktivität).	0,625
 Frauenquote ist nötig.	0,083333333
 Frauenquote ist notwendig. Punkt!	-0,125
 Frauenquote macht Sinn bzw. wirkt.	-0,375
 Frauenquote muss überall sein	0,041666667
 Frauenquote vor Qualifikation.	-0,208333333
 Frauenquoten behindern die echte Gleichstellung der Geschlechter.	0,125
 Frauenquoten führen dazu das die Vergabe von Jobs nicht primär nach Können und Leistung erfolgt.	-0,208333333
 Frauenquoten führen dazu, dass unqualifizierte Personen aufgrund Ihres Geschlechts an Posten kommen, die andere besser besetzen könnten.	0,125
 Frauenquoten helfen der Gleichstellung.	-0,375
 Frauenquoten in Aufsichtsräten fördern die Gleichberechtigung.	-0,291666667
 Frauenquoten sind kosmetische Zwangsmaßnahmen und stellen eine Form der Diskiminierung dar.	0,416666667
 Frauenquoten sind notwendig.	-0,25
 Frauenquoten sind quatsch.	0,291666667
 Frauenquoten sind sinnvoll und notwendig.	-0,291666667
 Für Frauen in der Bundeswehr sollten hinsichtlich köperlicher Leistungsfähigkeit exakt dieselben Kriterien gelten wie für Männer, selbst dann, wenn dadurch keine einzige Frau qualifiziert ist.	-0,083333333
 Für viele Führungspositionen sind Männer besser geeignet.	0,208333333
 Gegenderte Begriffe wie mansplaining oder manspreading sind sexistisch und basieren auf falschen Prämissen.	-0,291666667
 Gehälter von Frauen müssen jenen von Männern bei gleicher Arbeit in allen Belangen gleichgestellt werden.	-0,458333333
 Genderforschern geht es in erster Linie nicht um das Herstellen von Gleichcheit, sondern um ihr eigenes Geltungsbedürfnis.	-0,041666667
 Genderforschern und Befürwortern geschlechtergerechter Sprache wird aufgrund falscher politischer Korrektheit Gehör geschenkt.	-0,041666667
 Gendergerechte Sprache ist unpraktisch und ist zuwider der intuitiven Nutzung von Sprache.	-0,125
 Gendergerechte Sprache zieht Menschen mit echten Problemen was ihre Sexualität angeht gesamtgesellschaftlich nur ins lächerliche.	-0,041666667
 Gendermainstreaming bedeutet idr nur Nachteile für cis-gender Männer. An Universitäten gibt es idr nur Kurse speziell für Frauen, aber keine nur für Männer. Eine Teilnahme für Männer an Frauenkursen ist untersagt auch wenn dies inhaltlich keinen Sinn macht.	0,041666667
 Gendermainstreaming ist quatsch.	0,208333333
 Genderstudies sind absoluter Quatsch.	0,291666667
 Geschlechterangleichung in der Sprache ist überflüssig.	-0,166666667
 Geschlechterpolitik gründet zur Zeit auf Lobbyismus für Eigeninteressen und nur wenig auf gesellschaftlichen Wahrheiten.	0
 Geschlechterquoten ist gerecht.	-0,166666667
 Geschlechtsangleichende Operationen sind der beste/einzige Weg Gender Dysphoria zu bewältigen.	-0,25
 Gesellschaftlich genießen Frauen etliche Vorteile einfach durch die wohlwollende Wahrnehmung anderer Menschen.	0,458333333
 Gleich geschlechtliche ehe sollte verboten werden.	-0,041666667
 GleichbeRECHTigung (equality of opportunity) ist erstrebenswert, aber sicherzustellen, dass Männer und Frauen in allen Sektoren gleich stark vertreten sind (equality of outcome), ist nicht erstrebenswert.	-0,083333333
 Gleichberechtigung ist bereits seit 40 Jahren realität. Heute geht es dem Feminismus nur noch um Hetze gegen Männer und andersdenkende.	0,333333333
 Gleichberechtigung ist bereits Staatsform. Gleichstellung ist totalitäre Tyrannei.	0,333333333
 Gleichberechtigung ist eine menschenrechtliche Frage	-0,625
